vietnamese_name,english_name,type,region,description,ingredients,how_to_eat,fun_fact,,
Lẩu Thái,Vietnamese-style Thai Hotpot,Hotpot,All,"The Vietnamese take on Thai hotpot - a spicy and sour broth with lemongrass, galangal, kaffir lime leaves, tomatoes, and pineapple.","Pork broth, lemongrass, galangal, kaffir lime leaves, Thai chilies, tomatoes, pineapple, mushrooms, seafood, meats, rice noodles",Cook ingredients in the bubbling broth and eat with rice noodles and a dipping sauce.,"Despite the name, this is distinctly Vietnamese - it's been adapted to local tastes with more herbs and less coconut milk.",,
Lươn Xào Lăn,Stir-fried Eel with Lemongrass,Stir-fried Eel,North,"Eel stir-fried with lemongrass, chili, and Vietnamese coriander.","Eel fillets, lemongrass, chili, garlic, turmeric, rau răm, fish sauce",Eat it with rice or rice crackers. The eel is slightly chewy and very flavorful.,Eel is considered a delicacy in the north - it's expensive and highly prized.,,
Mì Hoành Thánh,Wonton Noodle Soup,Wonton Noodles,All,"Egg noodles with wontons, roasted pork, and greens in a broth. This has a strong Cantonese influence.","Egg noodles, wontons, roasted pork, broth, bok choy",Add chili oil and pickled peppers. Mix it well.,"This is a complete meal in a bowl - you get noodles, dumplings, meat, and vegetables all together.",,
Mì Quảng,Turmeric Noodles with Pork and Shrimp,Turmeric Noodles,Central,"Wide rice noodles stained yellow with turmeric, served with a small amount of intensely flavored broth. Topped with shrimp, pork, quail eggs, peanuts, fresh herbs, and crunchy rice crackers.","Turmeric noodles, pork, shrimp, quail eggs, peanuts, fresh herbs, rice crackers, broth",Crush the rice crackers and mix everything so each bite has a bit of everything.,"The small amount of broth is intentional - it's not a soup, it's a 'salad noodle' dish.",,
Mì Quảng (bò),Beef Turmeric Noodles (Quang Nam style),Beef Noodles,Central,"A beef version - turmeric noodles with thinly sliced beef, and sometimes beef offal.","Turmeric noodles, beef, beef broth, peanuts, herbs, banana blossom, rice crackers",This is less common than the pork or chicken version. The beef is quickly cooked so it should be rare.,Some versions use water buffalo meat - it's chewier and has a gamier flavor.,,
Mì Quảng (gà),Chicken Turmeric Noodles (Quang Nam style),Chicken Noodles,Central,"A chicken version of mì quảng - turmeric noodles with free-range chicken, chicken broth, herbs, peanuts, and rice crackers.","Turmeric noodles, free-range chicken, chicken broth, roasted peanuts, fresh herbs, banana blossom, rice crackers, scallion oil",Mix everything together and crush the crackers. The chicken version is lighter than the pork or shrimp version.,"The free-range chickens of Central Vietnam have firmer, tastier meat.",,
Mì Vịt Tiềm,Braised Duck Noodle Soup with Herbs,Duck Noodle Soup,South,A Chinese-influenced duck noodle soup - duck braised with Chinese herbs and served with egg noodles in a medicinal broth.,"Duck, Chinese herbs, egg noodles, bok choy, herbs",Drink the medicinal broth first - it's slightly bitter and aromatic. Then eat the duck with the noodles.,"This is considered a tonic food - the herbs are believed to boost health, especially for women.",,
Mì Xào Giòn,Crispy Fried Noodles with Stir-fried Toppings,Crispy Noodles,All,"Egg noodles are deep-fried into a crispy cake, then topped with a stir-fry of meat and vegetables in a gravy.","Egg noodles, chicken, seafood, vegetables, gravy",Break the crispy noodle cake and mix it with the toppings and gravy. The contrast of the crispy noodles and the saucy toppings is the point.,"There are two versions: 'khô' (dry) where the noodles stay separate, and 'ướt' (wet) where the noodles are soft.",,
Mì Xào Mềm,Soft Fried Noodles,Soft Noodles,All,"The soft version of mì xào - the noodles are stir-fried with meat and vegetables, not made into a crispy cake.","Egg noodles, meat, seafood, vegetables, soy sauce, oyster sauce","The noodles are soft and chewy, and coated in the sauce.",This is the home-style version - it's quicker and easier than making a crispy noodle cake.,,
Miến,Glass Noodle Soup or Salad,Glass Noodles,All,"Thin, clear noodles made from mung bean starch. They're used in soups, salads, and stir-fries.","Mung bean starch, water",Don't overcook them - they'll become mushy quickly. Cook them just until they're translucent.,"These are also called cellophane noodles, bean thread noodles, or glass noodles.",,
Miến Gà,Chicken Glass Noodle Soup,Chicken Noodle Soup,All,"Glass noodles in a clear chicken broth with shredded chicken, mushrooms, and herbs. It's light and comforting.","Chicken broth, glass noodles, shredded chicken, wood ear mushrooms, shiitake mushrooms, scallions, cilantro, fried shallots","Add lime, chili, and lots of herbs. This is the perfect sick-day food.",This is considered easy to digest - it's often fed to sick people and new mothers.,,
Miến Lươn,Hanoi Glass Noodle Soup with Fried Eel,Eel Noodle Soup,North,"A Hanoi specialty - glass noodles with fried eel, topped with fried shallots, herbs, and peanuts. Served with a clear broth on the side.","Glass noodles, freshwater eel, fried shallots, roasted peanuts, fresh herbs, clear broth","Put the noodles in a bowl, add the broth, and eat with the herbs. The eel is crispy, the noodles are soft, and the broth is light.","The eel is prepared two ways in the same dish - some pieces are fried until crispy, while others are in the broth.",,
Nem Chua,Fermented Pork Sausage,Fermented Pork,All,"A raw, fermented pork sausage cured in banana leaves. It's sour, sweet, spicy, and garlicky.","Lean pork, pork skin, cooked rice, garlic, chili, fish sauce, sugar, banana leaves","Unwrap it, slice it, and eat it with chili and garlic.",The fermentation takes 3-5 days and develops a tangy sourness while the meat remains safe to eat.,,
Nem Chua Rán,Fried Fermented Pork Sausage,Fried Snack,All,Deep-fried nem chua - it becomes crispy on the outside and hot and tangy on the inside.,"Nem chua, frying oil",Dip it in chili sauce. It's the ultimate beer snack.,"This is a genius transformation - leftover nem chua, when fried, becomes a completely different dish.",,
Nem Nướng,Grilled Pork Sausage (Nha Trang style),Grilled Pork Sausage,Central,"Grilled pork sausages from Nha Trang - ground pork mixed with pork skin, garlic, and shallots, marinated in fish sauce, and grilled on lemongrass skewers.","Ground pork, pork skin, garlic, shallots, fish sauce, sugar, pepper, lemongrass skewers","Wrap in rice paper with herbs, green banana, and starfruit, then dip in peanut sauce or fish sauce.",Each region has its own version - Nha Trang style is often served with rice paper and herbs.,,
Nem Nướng Nha Trang,Nha Trang Grilled Pork Sausage,Grilled Pork Sausage,Nha Trang,"The Nha Trang specialty - grilled pork sausages served with rice paper, fresh herbs, green mango, starfruit, and a special fermented bean sauce.","Grilled pork sausages, rice paper, fresh herbs, green mango, starfruit, cucumber, fermented bean sauce, garlic chili sauce",Wrap everything in the rice paper and dip it in the fermented bean sauce.,The unique dipping sauce is what distinguishes the Nha Trang style. Nha Trang's version is considered the best in Vietnam.,,
Nem Rán,Fried Spring Rolls (Northern style),Fried Spring Rolls,North,"Northern fried spring rolls - they're smaller, thinner, and crispier than the southern version.","Rice paper, ground pork, crab meat, wood ear mushrooms, cellophane noodles, egg, pepper",Wrap them in lettuce with herbs and dip them in a fish sauce with vinegar.,"The northern version often includes crab or shrimp, making it more delicate.",,
Nghêu Hấp Sả,Steamed Clams with Lemongrass,Steamed Clams,All,"Small clams steamed with lemongrass, lime leaves, and chili. Simple and perfect.","Small clams, lemongrass, kaffir lime leaves, chili, beer or water","Eat the clams, then drink the broth - it's salty, sweet, and aromatic.",The broth is the star of this dish - don't waste it.,,
Nước Mía,Fresh Sugarcane Juice,Sugarcane Juice,All,"Fresh sugarcane juice pressed through rollers, served over ice with a squeeze of kumquat.","Fresh sugarcane, ice, kumquat or lemon juice",Drink it immediately while it's cold and fresh.,It's often sold at carts where you can see the sugarcane stalks being pressed right in front of you.,,
Ốc,Snails (Prepared in endless ways),Snails,All,"An infinite variety of snails prepared in endless ways - steamed with lemongrass, stir-fried with coconut, grilled with scallion oil, or boiled with ginger.","Various sea snails and freshwater snails, lemongrass, ginger, chili, scallion oil, coconut, salt and pepper",Use a toothpick to extract the snail from the shell. Dip it in salt-pepper-lime or fish sauce with chili.,"Eating snails is a social activity - you gather with friends, have some beers, and spend hours picking snails.",,
Ốc Hấp Sả,Snails Steamed with Lemongrass,Steamed Snails,All,"Snails steamed with lemongrass, lime leaves, and ginger - a light, aromatic preparation.","Snails, lemongrass, kaffir lime leaves, ginger, chili, beer or water","Eat the snails, then drink the broth at the end - it's infused with lemongrass and the essence of the snails.",The broth left over after steaming is delicious and is often drunk as a soup.,,
Ốc Nướng Tiêu,Grilled Snails with Green Peppercorns,Grilled Snails,All,"Large snails grilled with fresh green peppercorns, scallions, and peanuts.","Large sea snails, fresh green peppercorns, scallion oil, roasted peanuts, butter",The snail absorbs the peppercorn flavor - it's spicy and aromatic. Use a toothpick and dip it in salt-pepper-lime.,"Green peppercorns are milder than dried black pepper - they're fruity, aromatic, and only slightly spicy.",,
Pâté,Vietnamese-style Pork Pâté,Pork Pâté,All,Vietnamese-style pork pâté - it's smoother and lighter than the French version. It's often homemade.,"Pork liver, pork fat, pork shoulder, fish sauce, pepper, garlic, shallots",Spread it on bread and eat it with pickles. It's an essential ingredient in a bánh mì.,Every family has their own secret recipe - making good pâté is serious business.,,
Phở Cuốn,Fresh Pho Noodle Rolls with Beef,Fresh Rolls,North,"Fresh rice noodle sheets wrapped around stir-fried beef with herbs. Unlike summer rolls, these use fresh pho noodles as the wrapper.","Fresh pho noodle sheets, beef, garlic, fish sauce, lettuce, mint, cilantro, basil","Dip generously - the rolls are lightly flavored, so the sauce provides the punch.","The Ngũ Xã area in Hanoi is famous for this dish - multiple restaurants, locals have fierce loyalty.",,
Phở Hà Nội,Hanoi Beef Noodle Soup,Noodle Soup,North,"Clear beef broth with flat rice noodles and thinly sliced beef. Broth simmered for hours with beef bones, star anise, cinnamon, and ginger. Minimal garnishes - just scallions, cilantro, and lime.","Beef bones, star anise, cinnamon, ginger, cardamom, charred onion, fish sauce, flat rice noodles, raw beef eye round, scallions, cilantro",Add lime and maybe a tiny bit of chili. Taste the broth first! Slurp loudly - it enhances the flavor.,Hanoi pho has a clearer broth because it's not clouded by extra spices like the southern version.,,
Phở Sài Gòn,Saigon Beef Noodle Soup,Noodle Soup,South,"Darker, sweeter, more robust broth with more spices. Served with a massive platter of fresh herbs, bean sprouts, lime, and chilies. More meat options like brisket, tendon, and tripe.","Beef bones, star anise, clove, cardamom, fish sauce, sugar, flat rice noodles, rare steak, brisket, tendon, tripe, basil, mint, bean sprouts","Add ALL the herbs, pile on bean sprouts, squeeze lime, add chili. Customize your bowl your way.","Saigon pho reflects the city's character - more is more, and customization is everything.",,
Rau Câu,Vietnamese Agar Jelly Dessert,Agar Jelly,All,"Vietnamese jelly desserts made from agar agar. They come in various colors, flavors, and layers.","Agar agar powder, coconut milk, sugar, pandan, fruit juices",Eat it cold. The jelly is firm but melts on your tongue.,This is healthier than gelatin-based desserts because it's made from seaweed.,,
Rau Câu Dừa,Coconut Agar Jelly,Coconut Jelly,All,A coconut jelly - it can be clear or made in layers with coconut milk.,"Agar agar, coconut milk, sugar",It's often molded into the shape of a coconut.,This is a refreshing and light dessert.,,
Rau Muống Xào Tỏi,Stir-fried Water Spinach with Garlic,Stir-fried Vegetables,All,The quintessential Vietnamese vegetable dish - morning glory stir-fried with garlic.,"Water spinach, garlic, vegetable oil, fish sauce, salt",Eat it with rice. The stems should be crunchy and the leaves tender.,Order this at every meal - it's the default vegetable dish everywhere.,,
Rượu Cần,Traditional Rice Wine (drunk from jars),Rice Wine,Highlands,Traditional fermented rice wine drunk through long bamboo straws from a large ceramic jar. A staple of the Central Highlands ethnic minorities.,"Glutinous rice, water, herbal yeast, fermented in a jar",Gather around the jar with friends and drink through the straws.,Each ethnic group has a secret family recipe for the herbal yeast - passed down through generations.,,
Rượu Đế,Mekong Delta Rice Moonshine,Rice Wine,Mekong,"Mekong Delta rice moonshine - distilled from fermented glutinous rice. It's strong, clear, and potent. Often infused with snakes, insects, or herbs.","Glutinous rice, water, yeast",Shoot it fast. Often served with pickled dishes.,Snake wine is a whole venomous snake preserved in rice wine - it's supposedly medicinal.,,
Sinh Tố,Vietnamese Fruit Smoothie,Fruit Smoothie,All,"A Vietnamese fruit smoothie - fresh tropical fruit blended with condensed milk and crushed ice. It's thick, sweet, and delicious.","Tropical fruits, condensed milk, crushed ice",Drink it thick or eat it with a spoon. The avocado smoothie is legendary.,The durian smoothie is either loved or hated - there's no middle ground.,,
Sò Huyết,Blood Cockles (Raw or Stir-fried),Blood Cockles,All,"Blood cockles - small, red shellfish. They're usually eaten raw with lime and pepper, or stir-fried with tamarind.","Blood cockles, lime, pepper, salt, chili; or tamarind, garlic, scallions","For the raw version: squeeze lime over them, add salt, pepper, and chili, and eat them whole. For the stir-fried version: eat them with rice.","They're called 'blood cockles' because of the red juice inside - it looks like blood, but it tastes like the ocean.",,
Sữa Chua,Vietnamese Yogurt,Yogurt,All,Vietnamese yogurt - it's sweeter and tarter than Western yogurt. It's made with condensed milk.,"Condensed milk, fresh milk, yogurt culture",Eat it plain or with fruit. It's often sold in small glass jars.,This is a French colonial influence - the Vietnamese version was adapted to use condensed milk.,,
Sữa Chua Nếp Cẩm,Yogurt with Black Sticky Rice,Yogurt with Black Rice,All,"Plain yogurt topped with sweet, cooked black sticky rice.","Plain yogurt, black sticky rice cooked with sugar, coconut milk",Layer the rice at the bottom of the bowl and the yogurt on top.,The black rice is chewy and slightly sweet - a perfect match for the tangy yogurt.,,
Sữa Chua Trân Châu,Yogurt with Tapioca Pearls (Boba),Yogurt with Boba,All,Yogurt with tapioca pearls - a modern street food favorite.,"Yogurt, cooked tapioca pearls, fruit syrup",Stir it and drink it with a wide straw.,This is popular with the younger generation - yogurt shops are everywhere.,,
Sủi Cảo,Vietnamese Wontons (Soup or Fried),Wontons,All,Vietnamese wontons - served either in a soup or fried with a sweet and sour sauce.,"Pork and shrimp filling, wonton wrappers, broth, sweet-sour sauce, vegetables","For the soup version, add chili and herbs. For the fried version, dip them in the sauce and eat with shredded lettuce and cucumber.",These are two completely different dishes with the same name - always specify if you want soup or fried.,,
Thịt Đông,Northern Pork Meat Jelly,Meat Jelly,North,"A northern winter dish - pork is cooked in a rich broth until the collagen melts, and then it sets into a jelly when chilled. It's served cold with pickles.","Pork shoulder, hocks, ears, broth, mushrooms, onions, fish sauce, pepper","Eat it cold, with hot rice and pickled vegetables. The jelly melts on your tongue.","This is a traditional winter dish, served during Tết when the weather is cold enough for it to set.",,
Thịt Kho Tàu,Pork Belly and Eggs Braised in Coconut Juice,Braised Pork,South,Pork belly and eggs braised in coconut water with fish sauce and caramel sauce. A Tết holiday staple.,"Pork belly, hard-boiled eggs, coconut water, fish sauce, caramel sauce, garlic, shallots, black pepper",Pour the sauce over rice and eat the pork with pickled bean sprouts and herbs.,"The name refers to Chinese influence, but the dish was made Vietnamese with the addition of coconut water.",,
Tiết Canh,Vietnamese Raw Blood Pudding,Raw Blood Pudding,North,"A raw blood pudding - fresh duck or pig blood is mixed with fish sauce and water, and it sets into a jelly-like consistency. It's topped with chopped meat, peanuts, and herbs. It's considered a delicacy.","Fresh blood, fish sauce, water, chopped cooked meat, roasted peanuts, herbs, fried shallots","Eat it with a spoon. The texture is like a firm jelly, and the flavor is metallic and savory. It's not for the squeamish.",This is an acquired taste and is considered the ultimate delicacy in the north. It must be ultra-fresh to be safe.,,
Tôm Hấp Bia,Beer-steamed Shrimp,Steamed Shrimp,All,"Fresh shrimp steamed in beer with lemongrass. They're sweet, plump, and perfect.","Fresh shrimp, beer, lemongrass, ginger, salt",Peel them and dip them in salt-pepper-lime. Suck the heads for the most flavor.,The beer keeps the shrimp moist and adds a subtle flavor.,,
Vịt 7 Món,Seven-Course Duck Feast (Saigon style),Duck Feast,Saigon,A seven-course duck feast - a Saigon specialty.,"Duck prepared in seven ways: steamed, roasted, salad, congee, etc.",Duck blood pudding is often included. Herbs are essential to balance the rich duck.,"Duck is considered a 'cooling' food in the yin-yang balance, so it's often eaten with ginger, which is 'warming'.",,
White Rose,White Rose Dumplings,Dumplings,Hoi An,"Delicate white shrimp dumplings shaped like roses, made by a single family who has held the secret recipe for generations.","Rice flour dough, shrimp, pork fat, shallots, fish sauce dip",Dip gently - the dumplings are delicate. One bite each.,The Tran family are the only people who know the recipe - they make all the dumplings for Hoi An's restaurants in a secret facility.,,
Xíu Mại,Vietnamese Pork Meatballs in Tomato Sauce,Meatballs,All,"Vietnamese pork meatballs in a tomato sauce - they're soft, fluffy, and slightly sweet. Served with bread or rice.","Ground pork, shallots, garlic, tomato paste, canned tomatoes, fish sauce, sugar",Eat them with a baguette - dip the bread in the sauce. They're also served with rice.,This is a comfort food fusion - French-inspired meatballs meet a Vietnamese tomato preparation.,,
Xôi Đỗ,Bean Sticky Rice,Bean Sticky Rice,All,Sticky rice with mung beans or black beans.,"Sticky rice, mung beans or black beans, salt",It can be either savory or sweet. The mung bean version is the most common.,The beans are cooked until they're soft and then mixed with the sticky rice.,,
Xôi Gà,Chicken Sticky Rice,Chicken Sticky Rice,All,"Sticky rice topped with shredded chicken, fried shallots, and scallion oil.","Sticky rice, shredded chicken, fried shallots, scallion oil, pepper",The chicken should be moist and the shallots should be crispy.,It's often served with a small bowl of chicken broth on the side.,,
Xôi Gấc,Bright Red Sticky Rice with Gac Fruit,Red Sticky Rice,All,A bright red-orange sticky rice made with gấc fruit. It's served at celebrations because the red color symbolizes luck.,"Glutinous rice, gấc fruit pulp, coconut milk, sugar, salt",Eat it with sesame salt or shredded coconut. It's often served at weddings and during Tết.,Gấc fruit has 70 times more lycopene than tomatoes - it's a superfood disguised as a celebration dish.,,
Xôi Lá Cẩm,Purple Sticky Rice with Magenta Plant,Purple Sticky Rice,All,A deep purple sticky rice colored with magenta plant leaves. It's naturally dyed and has a subtle herbal flavor.,"Glutinous rice, magenta plant leaves, coconut milk, salt",Eat it with sesame salt or grilled chicken. The color is completely natural.,The magenta plant is used in many Asian desserts - it's also used in Vietnamese sweet soups.,,
Xôi Lạc,Peanut Sticky Rice,Peanut Sticky Rice,All,Simple sticky rice with peanuts - a classic breakfast.,"Sticky rice, peanuts, salt, sugar","Eat it with a little soy sauce or sugar. It's simple, filling, and cheap.",This is the cheapest sticky rice option - it's a street breakfast for workers.,,
Xôi Mặn,Savory Sticky Rice with Assorted Toppings,Savory Sticky Rice,All,"Savory sticky rice with various toppings - pork floss, Chinese sausage, pâté, a fried egg, and fried shallots.","Sticky rice, pork floss, Chinese sausage, pâté, fried egg, fried shallots, scallion oil",Mix everything together and eat it with pickled cucumber.,This is a complete meal in one box - it's breakfast on the go.,,
Xôi Ngọt,Sweet Sticky Rice,Sweet Sticky Rice,All,"Sweet sticky rice made with coconut, mung bean, sesame, and sugar.","Sticky rice, coconut milk, sugar, mung bean paste, sesame seeds",Eat it as a dessert or a snack. Sometimes it's served with grated coconut.,Different regions have their own specialty versions.,,
Xôi Vị,Northern Red Sticky Rice with Gac Fruit,Red Sticky Rice,North,"A northern specialty - sticky rice cooked with gac fruit, which gives it a bright red-orange color. It's served at celebrations.","Sticky rice, gac fruit pulp, coconut milk, sugar",Eat it with sesame salt. The color symbolizes good luck.,"The gac fruit is only available seasonally, so this is a Tết specialty.",,
Xôi Xéo,Turmeric Sticky Rice with Mung Beans,Sticky Rice,North,Turmeric-colored sticky rice topped with mung bean flakes and crispy fried shallots. Served with pork floss or pâté.,"Glutinous rice, turmeric, mung bean flakes, fried shallots, pork floss","Mix everything so each bite has rice, mung bean, and shallots.",Xôi xéo literally means 'crunchy sticky rice' - referring to the crispy shallots.,,
Xôi Xíu,BBQ Pork Sticky Rice,BBQ Pork Sticky Rice,All,"Sticky rice with Chinese BBQ pork, pork floss, and scallion oil.","Sticky rice, Chinese BBQ pork, pork floss, scallion oil, cucumber","The pork is sweet and savory, the rice is neutral, and the scallion oil is rich.","The name comes from the Cantonese word for 'siu', as in 'char siu'.",,
